"ISSN" "titulo" "estrato" "ISSN2"
"2826" "1808-9909" "PLANT CELL CULTURE & MICROPROPAGATION" "C" "18089909"
"2827" "0721-7714" "PLANT CELL REPORTS (PRINT)" "A2" "07217714"
"2828" "0167-6857" "PLANT CELL, TISSUE AND ORGAN CULTURE (PRINT)" "A2" "01676857"
"2829" "0191-2917" "PLANT DISEASE" "A1" "01912917"
"2830" "1755-0874" "PLANT ECOLOGY & DIVERSITY (PRINT)" "A2" "17550874"
"2831" "1755-1668" "PLANT ECOLOGY AND DIVERSITY" "A2" "17551668"
"2832" "2032-3913" "PLANT ECOLOGY AND EVOLUTION" "B2" "20323913"
"2833" "1385-0237" "PLANT ECOLOGY (DORDRECHT)" "B1" "13850237"
"2834" "1573-5052" "PLANT ECOLOGY (DORDRECHT. ONLINE)" "B1" "15735052"
"2835" "0921-9668" "PLANT FOODS FOR HUMAN NUTRITION (DORDRECHT)" "A2" "09219668"
"2836" "2352-4073" "PLANT GENE" "C" "23524073"
"2837" "0167-6903" "PLANT GROWTH REGULATION (PRINT)" "A2" "01676903"
"2838" "0960-7412" "PLANT JOURNAL (PRINT)" "A1" "09607412"
"2839" "1746-4811" "PLANT METHODS" "A1" "17464811"
"2840" "0167-4412" "PLANT MOLECULAR BIOLOGY" "A1" "01674412"
"2841" "0735-9640" "PLANT MOLECULAR BIOLOGY REPORTER" "A2" "07359640"
"2842" "1598-2254" "PLANT PATHOLOGY J" "B2" "15982254"
"2843" "0032-0862" "PLANT PATHOLOGY (PRINT)" "A2" "00320862"
"2844" "0981-9428" "PLANT PHYSIOLOGY AND BIOCHEMISTRY (PARIS)" "A2" "09819428"
"2845" "0032-0889" "PLANT PHYSIOLOGY (BETHESDA)" "A1" "00320889"
"2846" "1532-2548" "PLANT PHYSIOLOGY (ONLINE)" "A1" "15322548"
"2847" "0815-2195" "PLANT PROTECTION QUARTERLY" "B3" "08152195"
"2848" "2194-7953" "PLANT REPRODUCTION" "A2" "21947953"
"2849" "0168-9452" "PLANT SCIENCE (LIMERICK)" "A1" "01689452"
"2850" "1559-2316" "PLANT SIGNALING & BEHAVIOR" "B1" "15592316"
"2851" "1214-1178" "PLANT, SOIL AND ENVIRONMENT (PRAHA)" "B2" "12141178"
"2852" "0913-557X" "PLANT SPECIES BIOLOGY" "B2" "0913557X"
"2853" "0378-2697" "PLANT SYSTEMATICS AND EVOLUTION" "B1" "03782697"
"2854" "1615-6110" "PLANT SYSTEMATICS AND EVOLUTION (ELECTRONIC VERSION)" "B1" "16156110"
"2855" "1806-9681" "PLANTA DANINHA" "B2" "18069681"
"2856" "0100-8358" "PLANTA DANINHA (IMPRESSO)" "B2" "01008358"
"2857" "0032-0935" "PLANTA (HEIDELBERG" "A1" "00320935"
"2858" "0032-0943" "PLANTA MEDICA" "A2" "00320943"
"2859" "1439-0221" "PLANTA MEDICA (INTERNET)" "A2" "14390221"
"2860" "0032-0943" "PLANTA MEDICA (STUTTGART)" "A2" "00320943"
"2861" "0147-619X" "PLASMID (SAN DIEGO. PRINT)" "B2" "0147619X"
"2862" "0953-7104" "PLATELETS (EDINBURGH)" "B1" "09537104"
"2863" "1544-9173" "PLOS BIOLOGY" "A1" "15449173"
"2864" "1545-7885" "PLOS BIOLOGY" "A1" "15457885"
"2865" "1553-7390" "PLOS GENETICS" "A1" "15537390"
"2866" "1553-7404" "PLOS GENETICS (ONLINE)" "A1" "15537404"
"2867" "1935-2735" "PLOS NEGLECTED TROPICAL DISEASES (ONLINE)" "B1" "19352735"
"2868" "1935-2727" "PLOS NEGLECTED TROPICAL DISEASES (PRINT)" "B1" "19352727"
"2869" "1932-6203" "PLOS ONE" "A1" "19326203"
"2870" "1932-6203" "PLOS ONE" "A1" "19326203"
"2871" "1932-6203" "PLOS ONE" "A1" "19326203"
"2872" "1932-6203" "PLOS ONE" "A1" "19326203"
"2873" "1932-6203" "PLOS ONE" "A1" "19326203"
"2874" "1932-6203" "PLOS ONE (ELECTRONIC)" "A1" "19326203"
"2875" "1553-7366" "PLOS PATHOGENS" "A1" "15537366"
"2876" "1553-7366" "PLOS PATHOGENS (ONLINE)" "A1" "15537366"
"2877" "0027-8424" "PNAS. PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA" "A1" "00278424"
"2878" "0722-4060" "POLAR BIOLOGY (PRINT)" "A2" "07224060"
"2879" "0800-0395" "POLAR RESEARCH" "B1" "08000395"
"2880" "1405-2768" "POLIBOTÁNICA" "C" "14052768"
"2881" "1641-8190" "POLISH BOTANICAL JOURNAL" "B3" "16418190"
"2882" "0138-0338" "POLISH POLAR RESEARCH" "B2" "01380338"
"2883" "0277-5387" "POLYHEDRON" "B1" "02775387"
"2884" "0360-2559" "POLYMER-PLASTICS TECHNOLOGY AND ENGINEERING (SOFTCOVER ED.)" "B2" "03602559"
"2885" "1996-9198" "PONTES: INFORMAÇĠES E ANÁLISES SOBRE COMÉRCIO E DESENVOLVIMENTO SUSTENTÁVEL" "C" "19969198"
"2886" "1981-6766" "PONTODEACESSO (UFBA)" "C" "19816766"
"2887" "1438-3896" "POPULATION ECOLOGY" "B1" "14383896"
"2888" "0925-5214" "POSTHARVEST BIOLOGY AND TECHNOLOGY (PRINT)" "A1" "09255214"
"2889" "2176-9230" "PRAXIS" "C" "21769230"
"2890" "1573-1618" "PRECISION AGRICULTURE (ONLINE)" "B1" "15731618"
"2891" "1082-6068" "PREPARATIVE BIOCHEMISTRY & BIOTECHNOLOGY" "B3" "10826068"
"2892" "0167-5877" "PREVENTIVE VETERINARY MEDICINE (PRINT)" "B1" "01675877"
"2893" "0898-6207" "PRIMATE CONSERVATION" "B3" "08986207"
"2894" "0032-8332" "PRIMATES" "B1" "00328332"
"2895" "1517-0306" "PRINCIPIA (JOO PESSOA)" "C" "15170306"
"2896" "1518-2983" "PRINCIPIA (JUIZ DE FORA)" "C" "15182983"
"2897" "1822-7864" "PROBLEMS OF EDUCATION IN THE TWENTY FIRST CENTURY" "C" "18227864"
"2898" "1876-6196" "PROCEDIA CHEMISTRY" "B5" "18766196"
"2899" "1877-0428" "PROCEDIA: SOCIAL AND BEHAVIORAL SCIENCES" "B5" "18770428"
"2900" "0962-8452" "PROCEEDINGS - ROYAL SOCIETY. BIOLOGICAL SCIENCES (PRINT)" "A2" "09628452"
"2901" "1998-1643" "PROCEEDINGS OF PETROZAVODSK STATE UNIVERSITY" "C" "19981643"
"2902" "2317-3173" "PROCEEDINGS OF SAFETY, HEALTH AND ENVIRONMENT WORLD CONGRESS" "C" "23173173"
"2903" "0097-3157" "PROCEEDINGS OF THE ACADEMY OF NATURAL SCIENCES OF PHILADELPHIA" "B2" "00973157"
"2904" "0006-324X" "PROCEEDINGS OF THE BIOLOGICAL SOCIETY OF WASHINGTON" "B3" "0006324X"
"2905" "0013-8797" "PROCEEDINGS OF THE ENTOMOLOGICAL SOCIETY OF WASHINGTON" "B2" "00138797"
"2906" "0027-8424" "PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA" "A1" "00278424"
"2907" "1091-6490" "PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA (ONLINE)" "A1" "10916490"
"2908" "1471-2954" "PROCEEDINGS OF THE ROYAL SOCIETY B: BIOLOGICAL SCIENCES" "A1" "14712954"
"2909" "1364-5021" "PROCEEDINGS OF THE ROYAL SOCIETY OF LONDON" "A2" "13645021"
"2910" "1359-5113" "PROCESS BIOCHEMISTRY (1991)" "B1" "13595113"
"2911" "1809-2756" "PRODUÇO ACADÊMICA (UFT)" "C" "18092756"
"2912" "1806-0285" "PROFISCIENTIA (CUIABÁ)" "C" "18060285"
"2913" "0340-4773" "PROGRESS IN BOTANY" "C" "03404773"
"2914" "0278-5846" "PROGRESS IN NEURO-PSYCHOPHARMACOLOGY & BIOLOGICAL PSYCHIATRY" "A2" "02785846"
"2915" "0079-6611" "PROGRESS IN OCEANOGRAPHY" "A1" "00796611"
"2916" "1875-5305" "PROTEIN & PEPTIDE LETTERS" "B3" "18755305"
"2917" "0929-8665" "PROTEIN AND PEPTIDE LETTERS" "B3" "09298665"
"2918" "1046-5928" "PROTEIN EXPRESSION AND PURIFICATION (PRINT)" "B3" "10465928"
"2919" "1615-9853" "PROTEOMICS (WEINHEIM. PRINT)" "A2" "16159853"
"2920" "1434-4610" "PROTIST (JENA. PRINT)" "B1" "14344610"
"2921" "0033-183X" "PROTOPLASMA" "A2" "0033183X"
"2922" "1615-6102" "PROTOPLASMA (ONLINE)" "A2" "16156102"
"2923" "0102-3772" "PSICOLOGIA: TEORIA E PESQUISA (UNB. IMPRESSO)" "B5" "01023772"
"2924" "0033-2615" "PSYCHE: A JOURNAL OF ENTOMOLOGY (CAMBRIDGE)" "B3" "00332615"
"2925" "1984-3054" "PSYCHOLOGY & NEUROSCIENCE (IMPRESSO)" "B4" "19843054"
"2926" "1432-2072" "PSYCHOPHARMACOLOGY (BERLIN. INTERNET)" "C" "14322072"
"2927" "0951-418X" "PTR. PHYTOTHERAPY RESEARCH" "B1" "0951418X"
"2928" "0328-347X" "PUBLICACIÓN ESPECIAL - ASOCIACIÓN PALEONTOLÓGICA ARGENTINA" "C" "0328347X"
"2929" "1809-0273" "PUBLICATIO UEPG. CIÊNCIAS BIOLÓGICAS E DA SAÚDE (ONLINE)" "C" "18090273"
"2930" "0037-2870" "PUBLICATIONS OF THE SETO MARINE BIOLOGICAL LABORATORY" "C" "00372870"
"2931" "1094-5539" "PULMONARY PHARMACOLOGY & THERAPEUTICS" "B1" "10945539"
"2932" "2176-6142" "QUATERNARY AND ENVIRONMENTAL GEOSCIENCES" "C" "21766142"
"2933" "2176-6142" "QUATERNARY AND ENVIRONMENTAL GEOSCIENCES" "C" "21766142"
"2934" "1871-1014" "QUATERNARY GEOCHRONOLOGY (PRINT)" "B1" "18711014"
"2935" "1040-6182" "QUATERNARY INTERNATIONAL" "B1" "10406182"
"2936" "0033-5894" "QUATERNARY RESEARCH (PRINT)" "B1" "00335894"
"2937" "0277-3791" "QUATERNARY SCIENCE REVIEWS" "A2" "02773791"
"2938" "0100-4042" "QUIMICA NOVA" "B3" "01004042"
"2939" "0100-4042" "QUÍMICA NOVA" "B3" "01004042"
"2940" "0100-4042" "QUÍMICA NOVA" "B3" "01004042"
"2941" "0100-4042" "QUÍMICA NOVA (IMPRESSO)" "B3" "01004042"
"2942" "1678-7064" "QUÍMICA NOVA (ONLINE)" "B3" "16787064"
"2943" "1350-4487" "RADIATION MEASUREMENTS" "B1" "13504487"
"2944" "0969-806X" "RADIATION PHYSICS AND CHEMISTRY (1993)" "B3" "0969806X"
"2945" "0144-8420" "RADIATION PROTECTION DOSIMETRY" "B3" "01448420"
"2946" "1742-3406" "RADIATION PROTECTION DOSIMETRY" "B3" "17423406"
"2947" "0033-8222" "RADIOCARBON" "B1" "00338222"
"2948" "0033-8451" "RADIOPROTECTION (PARIS. 1966)" "B3" "00338451"
"2949" "2177-2738" "RA'E GA: O ESPAÇO GEOGRÁFICO EM ANÁLISE" "B5" "21772738"
"2950" "1516-4136" "RA'E GA (UFPR)" "B5" "15164136"
"2951" "0102-552X" "RAIZES (UFPB)" "C" "0102552X"
"2952" "1981-9951" "RAMA : REVISTA EM AGRONEGÓCIO E MEIO AMBIENTE" "B5" "19819951"
"2953" "1550-7424" "RANGELAND ECOLOGY & MANAGEMENT" "B1" "15507424"
"2954" "1808-0936" "RBC. REVISTA BRASILEIRA DE CARTOGRAFIA (ONLINE)" "C" "18080936"
"2955" "0034-7264" "RBM. REVISTA BRASILEIRA DE MEDICINA (RIO DE JANEIRO)" "B5" "00347264"
"2956" "1806-8405" "RBPG. REVISTA BRASILEIRA DE PÓS-GRADUAÇO" "C" "18068405"
"2957" "1981-8858" "RCA. REVISTA DE CIÊNCIAS AMBIENTAIS (UNILASALLE)" "C" "19818858"
"2958" "0951-4198" "RCM. RAPID COMMUNICATIONS IN MASS SPECTROMETRY" "B2" "09514198"
"2959" "1516-1684" "RDE. REVISTA DE DESENVOLVIMENTO ECONÔMICO" "C" "15161684"
"2960" "2358-3401" "REALIZAÇO - REVISTA ONLINE DE EXTENSO DA UFGD" "C" "23583401"
"2961" "1983-7682" "REB: REVISTA ELETRÔNICA DE BIOLOGIA" "C" "19837682"
"2962" "1809-9696" "REC. REVISTA ELETRÔNICA DE COMUNICAÇO" "C" "18099696"
"2963" "1872-2083" "RECENT PATENTS ON BIOTECHNOLOGY" "B3" "18722083"
"2964" "1872-2105" "RECENT PATENTS ON NANOTECHNOLOGY" "B2" "18722105"
"2965" "1307-6167" "RECORDS OF NATURAL PRODUCTS" "B3" "13076167"
"2966" "1982-5528" "REDE - REVISTA ELETRÔNICA DO PRODEMA" "C" "19825528"
"2967" "1982-6745" "REDES REVISTA DO DESENVOLVIMENTO REGIONAL" "C" "19826745"
"2968" "2213-2317" "REDOX BIOLOGY" "B2" "22132317"
"2969" "1579-1513" "REEC. REVISTA ELECTRÓNICA DE ENSEÑANZA DE LAS CIENCIAS" "C" "15791513"
"2970" "1436-3798" "REGIONAL ENVIRONMENTAL CHANGE (PRINT)" "B2" "14363798"
"2971" "2352-4855" "REGIONAL STUDIES IN MARINE SCIENCE" "C" "23524855"
"2972" "2358-0178" "REGNELLEA SCIENTIA" "C" "23580178"
"2973" "0167-0115" "REGULATORY PEPTIDES (PRINT)" "B2" "01670115"
"2974" "0273-2300" "REGULATORY TOXICOLOGY AND PHARMACOLOGY" "B2" "02732300"
"2975" "2447-6293" "RELPE: REVISTA LEITURAS EM PEDAGOGIA E EDUCAÇO" "C" "24476293"
"2976" "2448-167X" "REM - INTERNATIONAL ENGINEERING JOURNAL" "C" "2448167X"
"2977" "0370-4467" "REM. REVISTA ESCOLA DE MINAS (IMPRESSO)" "B4" "03704467"
"2978" "2316-9389" "REME - REVISTA MINEIRA DE ENFERMAGEM (ONLINE)" "C" "23169389"
"2979" "1415-2762" "REME. REVISTA MINEIRA DE ENFERMAGEM" "C" "14152762"
"2980" "2072-4292" "REMOTE SENSING" "B2" "20724292"
"2981" "0034-4257" "REMOTE SENSING OF ENVIRONMENT" "A1" "00344257"
"2982" "0886-022X" "RENAL FAILURE" "B3" "0886022X"
"2983" "1364-0321" "RENEWABLE & SUSTAINABLE ENERGY REVIEWS" "A1" "13640321"
"2984" "1742-1705" "RENEWABLE AGRICULTURE AND FOOD SYSTEMS (PRINT)" "B2" "17421705"
"2985" "0960-1481" "RENEWABLE ENERGY" "A2" "09601481"
"2986" "1470-1626" "REPRODUCTION (CAMBRIDGE)" "B1" "14701626"
"2987" "1448-5990" "REPRODUCTION, FERTILITY AND DEVELOPMENT (ONLINE)" "A2" "14485990"
"2988" "1031-3613" "REPRODUCTION, FERTILITY AND DEVELOPMENT (PRINT)" "A2" "10313613"
"2989" "0936-6768" "REPRODUCTION IN DOMESTIC ANIMALS (1990)" "B3" "09366768"
"2990" "1642-431X" "REPRODUCTIVE BIOLOGY" "B2" "1642431X"
"2991" "1933-7191" "REPRODUCTIVE SCIENCES (THOUSAND OAKS. ONLINE)" "B1" "19337191"
"2992" "0890-6238" "REPRODUCTIVE TOXICOLOGY (ELMSFORD, N.Y.)" "B1" "08906238"
"2993" "2320-0189" "RESEARCH & REVIEWS: JOURNAL OF BOTANICAL SCIENCES" "C" "23200189"
"2994" "2230-2484" "RESEARCH AND REPORTS IN BIODIVERSITY STUDIES" "C" "22302484"
"2995" "2367-7163" "RESEARCH IDEAS AND OUTCOMES" "C" "23677163"
"2996" "0923-2508" "RESEARCH IN MICROBIOLOGY (PARIS)" "B2" "09232508"
"2997" "0157-244X" "RESEARCH IN SCIENCE EDUCATION" "B2" "0157244X"
"2998" "0034-5288" "RESEARCH IN VETERINARY SCIENCE" "B1" "00345288"
"2999" "1993-6087" "RESEARCH JOURNAL OF BIOLOGICAL SCIENCES (ONLINE)" "C" "19936087"
"3000" "1819-3455" "RESEARCH JOURNAL OF MEDICINAL PLANT" "C" "18193455"
"3001" "1816-4943" "RESEARCH JOURNAL OF PARASITOLOGY" "C" "18164943"
"3002" "1819-3552" "RESEARCH JOURNAL OF SEED SCIENCE" "C" "18193552"
"3003" "1569-9048" "RESPIRATORY PHYSIOLOGY & NEUROBIOLOGY" "B2" "15699048"
"3004" "1061-2971" "RESTORATION ECOLOGY" "B1" "10612971"
"3005" "1516-8182" "RETRATOS DE ASSENTAMENTOS" "C" "15168182"
"3006" "1742-4690" "RETROVIROLOGY (LONDON)" "B1" "17424690"
"3007" "1983-084X" "REV. BRAS. PL. MED." "B2" "1983084X"
"3008" "0034-6667" "REVIEW OF PALAEOBOTANY AND PALYNOLOGY" "A2" "00346667"
"3009" "1753-5131" "REVIEWS IN AQUACULTURE" "A1" "17535131"
"3010" "0960-3166" "REVIEWS IN FISH BIOLOGY AND FISHERIES" "A1" "09603166"
"3011" "1064-1262" "REVIEWS IN FISHERIES SCIENCE" "A2" "10641262"
"3012" "2330-8257" "REVIEWS IN FISHERIES SCIENCE & AQUACULTURE" "B2" "23308257"
"3013" "2330-8249" "REVIEWS IN FISHERIES SCIENCE & AQUACULTURE" "B2" "23308249"
"3014" "2327-1523" "REVIEWS IN THEORETICAL SCIENCE" "C" "23271523"
"3015" "1606-5131" "REVIEWS ON ADVANCED MATERIALS SCIENCE (PRINT)" "B3" "16065131"
"3016" "1984-3577" "REVINTER" "C" "19843577"
"3017" "0103-989X" "REVISTA ACADÊMICA. CIÊNCIAS AGRÁRIAS E AMBIENTAIS" "C" "0103989X"
"3018" "0103-989X" "REVISTA ACADÊMICA: CIÊNCIAS AGRÁRIAS E AMBIENTAIS (PUCPR. IMPRESSO)" "C" "0103989X"
"3019" "1980-6965" "REVISTA ACADÊMICA OBSERVATÓRIO DE INOVAÇO DO TURISMO" "C" "19806965"
"3020" "2178-7727" "REVISTA ACTA SCIENTIAE" "C" "21787727"
"3021" "1807-491X" "REVISTA AGRICULTURAS (IMPRESSO)" "C" "1807491X"
"3022" "2525-4804" "REVISTA AGRI-ENVIRONMENTAL SCIENCES" "C" "25254804"
"3023" "1984-428X" "REVISTA AGROGEOAMBIENTAL" "C" "1984428X"
"3024" "0718-378X" "REVISTA AIDIS DE INGENIERÍA Y CIENCIAS AMBIENTALES" "C" "0718378X"
"3025" "1980-993X" "REVISTA AMBIENTE & ÁGUA" "B5" "1980993X"
"3026" "2447-3618" "REVISTA APROXIMANDO" "C" "24473618"
"3027" "0325-7541" "REVISTA ARGENTINA DE MICROBIOLOGÍA" "B3" "03257541"
"3028" "0100-6762" "REVISTA ÁRVORE" "B3" "01006762"
"3029" "0100-6762" "REVISTA ÁRVORE (IMPRESSO)" "B3" "01006762"
"3030" "1806-9088" "REVISTA ÁRVORE (ONLINE)" "B3" "18069088"
"3031" "2178-8650" "REVISTA BAIANA DE ENFERMAGEM" "C" "21788650"
"3032" "1415-7411" "REVISTA BIOCIÊNCIAS (TAUBATÉ)" "C" "14157411"
"3033" "2175-7925" "REVISTA BIOTEMAS" "C" "21757925"
"3034" "2179-684X" "REVISTA BRASILEIRA DE ADMINISTRAÇO CIENTÍFICA" "C" "2179684X"
"3035" "1982-7679" "REVISTA BRASILEIRA DE AGRICULTURA IRRIGADA" "C" "19827679"
"3036" "1980-9735" "REVISTA BRASILEIRA DE AGROECOLOGIA" "C" "19809735"
"3037" "2317-5818" "REVISTA BRASILEIRA DE AGROPECUÁRIA SUSTENTÁVEL (RBAS)" "C" "23175818"
"3038" "1679-2343" "REVISTA BRASILEIRA DE BIOCIÊNCIAS (IMPRESSO)" "C" "16792343"
"3039" "1980-4849" "REVISTA BRASILEIRA DE BIOCIÊNCIAS (ONLINE)" "C" "19804849"
"3040" "0034-7108" "REVISTA BRASILEIRA DE BIOLOGIA (IMPRESSO) (CESSOU EM 2001. CONT. ISSN 1519-6984 BRAZILIAN JOURNAL OF BIOLOGY (IMPRESSO))" "B3" "00347108"
"3041" "1983-0823" "REVISTA BRASILEIRA DE BIOMETRIA" "C" "19830823"
"3042" "0100-8404" "REVISTA BRASILEIRA DE BOTÂNICA (IMPRESSO)" "B2" "01008404"
"3043" "0560-4613" "REVISTA BRASILEIRA DE CARTOGRAFIA (IMPRESSO)" "C" "05604613"
"3044" "1806-9061" "REVISTA BRASILEIRA DE CIÊNCIA AVÍCOLA" "B3" "18069061"
"3045" "1516-635X" "REVISTA BRASILEIRA DE CIÊNCIA AVÍCOLA" "B3" "1516635X"
"3046" "1516-635X" "REVISTA BRASILEIRA DE CIÊNCIA AVÍCOLA / BRAZILIAN JOURNAL OF POULTRY SCIENCE" "B3" "1516635X"
"3047" "0100-0683" "REVISTA BRASILEIRA DE CIÊNCIA DO SOLO" "B3" "01000683"
"3048" "0100-0683" "REVISTA BRASILEIRA DE CIÊNCIA DO SOLO" "B3" "01000683"
"3049" "0100-0683" "REVISTA BRASILEIRA DE CIÊNCIA DO SOLO (IMPRESSO)" "B3" "01000683"
"3050" "1806-9657" "REVISTA BRASILEIRA DE CIÊNCIA DO SOLO (ONLINE)" "B3" "18069657"
"3051" "1413-0130" "REVISTA BRASILEIRA DE CIÊNCIA VETERINÁRIA (IMPRESSO)" "C" "14130130"
"3052" "1981-0997" "REVISTA BRASILEIRA DE CIENCIAS AGRARIAS" "C" "19810997"
"3053" "1981-1160" "REVISTA BRASILEIRA DE CIÊNCIAS AGRÁRIAS" "C" "19811160"
"3054" "2176-9478" "REVISTA BRASILEIRA DE CIÊNCIAS AMBIENTAIS" "C" "21769478"
"3055" "2176-9478" "REVISTA BRASILEIRA DE CIÊNCIAS AMBIENTAIS (IMPRESSA)" "C" "21769478"
"3056" "1980-055X" "REVISTA BRASILEIRA DE CLIMATOLOGIA" "C" "1980055X"
"3057" "2175-3598" "REVISTA BRASILEIRA DE CRESCIMENTO E DESENVOLVIMENTO HUMANO" "C" "21753598"
"3058" "2237-3691" "REVISTA BRASILEIRA DE CRIMINALÍSTICA" "C" "22373691"
"3059" "1983-9391" "REVISTA BRASILEIRA DE ECOTURISMO" "C" "19839391"
"3060" "1981-1764" "REVISTA BRASILEIRA DE EDUCAÇO AMBIENTAL" "C" "19811764"
"3061" "1981-1764" "REVISTA BRASILEIRA DE EDUCAÇO AMBIENTAL (ONLINE)" "C" "19811764"
"3062" "1980-5470" "REVISTA BRASILEIRA DE EDUCAÇO ESPECIAL" "C" "19805470"
"3063" "2237-9711" "REVISTA BRASILEIRA DE ENERGIAS RENOVÁVEIS" "C" "22379711"
"3064" "2237-9711" "REVISTA BRASILEIRA DE ENERGIAS RENOVÁVEIS" "C" "22379711"
"3065" "1415-4366" "REVISTA BRASILEIRA DE ENGENHARIA AGRÍCOLA E AMBIENTAL" "B3" "14154366"
"3066" "1415-4366" "REVISTA BRASILEIRA DE ENGENHARIA AGRÍCOLA E AMBIENTAL (IMPRESSO)" "B3" "14154366"
"3067" "1807-1929" "REVISTA BRASILEIRA DE ENGENHARIA AGRÍCOLA E AMBIENTAL (ONLINE)" "B3" "18071929"
"3068" "2359-6724" "REVISTA BRASILEIRA DE ENGENHARIA DE BIOSSISTEMAS / BRAZILIAN JOURNAL OF BIOSYSTEMS ENGINEERING" "C" "23596724"
"3069" "1980-587X" "REVISTA BRASILEIRA DE ENGENHARIA DE PESCA" "C" "1980587X"
"3070" "2175-3008" "REVISTA BRASILEIRA DE ENGENHARIA DE PESCA / BRAZILIAN JOURNAL OF FISHING ENGINEERING" "C" "21753008"
"3071" "2448-1661" "REVISTA BRASILEIRA DE ENGENHARIA E SUSTENTABILIDADE" "C" "24481661"
"3072" "1677-2318" "REVISTA BRASILEIRA DE ENSINO DE BIOQUÍMICA E BIOLOGIA MOLECULAR" "C" "16772318"
"3073" "1982-873X" "REVISTA BRASILEIRA DE ENSINO DE CIÊNCIA E TECNOLOGIA" "C" "1982873X"
"3074" "0085-5626" "REVISTA BRASILEIRA DE ENTOMOLOGIA (IMPRESSO)" "B2" "00855626"
"3075" "1415-790X" "REVISTA BRASILEIRA DE EPIDEMIOLOGIA" "B3" "1415790X"
"3076" "1415-790X" "REVISTA BRASILEIRA DE EPIDEMIOLOGIA (IMPRESSO)" "B3" "1415790X"
"3077" "2179-4952" "REVISTA BRASILEIRA DE ESPELEOLOGIA" "C" "21794952"
"3078" "1806-2695" "REVISTA BRASILEIRA DE EXTENSO UNIVERSITÁRIA" "C" "18062695"
"3079" "0370-372X" "REVISTA BRASILEIRA DE FARMACIA" "C" "0370372X"
"3080" "2176-0667" "REVISTA BRASILEIRA DE FARMÁCIA / BRAZILIAN JOURNAL OF PHARMACY" "C" "21760667"
"3081" "1981-528X" "REVISTA BRASILEIRA DE FARMACOGNOSIA" "B3" "1981528X"
"3082" "1981-528X" "REVISTA BRASILEIRA DE FARMACOGNOSIA" "B3" "1981528X"
"3083" "0102-695X" "REVISTA BRASILEIRA DE FARMACOGNOSIA" "B3" "0102695X"
"3084" "0102-695X" "REVISTA BRASILEIRA DE FARMACOGNOSIA" "B3" "0102695X"
"3085" "1809-6093" "REVISTA BRASILEIRA DE FLORICULTURA ORNAMENTAL" "C" "18096093"
"3086" "0100-2945" "REVISTA BRASILEIRA DE FRUTICULTURA (IMPRESSO)" "B3" "01002945"
"3087" "1806-9967" "REVISTA BRASILEIRA DE FRUTICULTURA (ONLINE)" "C" "18069967"
"3088" "0102-261X" "REVISTA BRASILEIRA DE GEOFÍSICA (IMPRESSO)" "B4" "0102261X"
"3089" "1984-2295" "REVISTA BRASILEIRA DE GEOGRAFIA FÍSICA" "C" "19842295"
"3090" "2317-4285" "REVISTA BRASILEIRA DE GEOMÁTICA" "C" "23174285"
"3091" "1519-1540" "REVISTA BRASILEIRA DE GEOMORFOLOGIA" "C" "15191540"
"3092" "2236-5664" "REVISTA BRASILEIRA DE GEOMORFOLOGIA" "C" "22365664"
"3093" "2359-1412" "REVISTA BRASILEIRA DE GESTO AMBIENTAL E SUSTENTABILIDADE" "C" "23591412"
"3094" "1809-239X" "REVISTA BRASILEIRA DE GESTO E DESENVOLVIMENTO REGIONAL" "B5" "1809239X"
"3095" "1516-8484" "REVISTA BRASILEIRA DE HEMATOLOGIA E HEMOTERAPIA (IMPRESSO)" "C" "15168484"
"3096" "2236-1065" "REVISTA BRASILEIRA DE HERBICIDAS" "C" "22361065"
"3097" "1981-2965" "REVISTA BRASILEIRA DE HIGIENE E SANIDADE ANIMAL" "C" "19812965"
"3098" "2176-3275" "REVISTA BRASILEIRA DE HISTÓRIA DA CIÊNCIA" "C" "21763275"
"3099" "1809-6093" "REVISTA BRASILEIRA DE HORTICULTURA ORNAMENTAL (CD-ROM)" "C" "18096093"
"3100" "1414-5685" "REVISTA BRASILEIRA DE INFORMÁTICA NA EDUCAÇO" "C" "14145685"
"3101" "1517-8692" "REVISTA BRASILEIRA DE MEDICINA DO ESPORTE (IMPRESSO)" "B5" "15178692"
"3102" "0100-2430" "REVISTA BRASILEIRA DE MEDICINA VETERINÁRIA" "B5" "01002430"
"3103" "1982-4351" "REVISTA BRASILEIRA DE METEOROLOGIA" "B5" "19824351"
"3104" "0102-7786" "REVISTA BRASILEIRA DE METEOROLOGIA" "B5" "01027786"
"3105" "0102-7786" "REVISTA BRASILEIRA DE METEOROLOGIA (IMPRESSO)" "B5" "01027786"
"3106" "1676-689X" "REVISTA BRASILEIRA DE MILHO E SORGO (IMPRESSO)" "C" "1676689X"
"3107" "1980-6477" "REVISTA BRASILEIRA DE MILHO E SORGO (ONLINE)" "C" "19806477"
"3108" "0103-7196" "REVISTA BRASILEIRA DE NUTRIÇO CLÍNICA" "C" "01037196"
"3109" "2178-7867" "REVISTA BRASILEIRA DE ORNITOLOGIA" "B3" "21787867"
